lat,lng,streetName
43.64447156564379,-79.39265826986725,Wellington St W
43.646554873300985,-79.39647306124311,Adelaide St W
43.64600585036742,-79.40183967139161,Adelaide St W
43.64609948815455,-79.3908194298706,King St W
43.64448825613489,-79.39155399643431,Wellington St W
43.6454844037057,-79.38986157254159,Wellington St W
43.6456581285151,-79.39813026407978,Brant St
43.64601744052577,-79.40129435220571,Portland St
43.645908245878665,-79.40006068310394,Adelaide St W
43.64584291499427,-79.39700568152294,Brant St
43.646258808406216,-79.39550711109894,Spadina Ave
43.646248912154086,-79.39240440169144,Peter St
43.64408990814278,-79.39387577015312,Spadina Ave
43.645557345982574,-79.3941099815182,King St W
43.644971327446854,-79.39558812942762,King St W
43.644409275043984,-79.39333605770476,Clarence Square
43.64598431646916,-79.3920422652226,King St W
43.643722336438145,-79.39260866546633,Front St W
43.644585822083656,-79.39054649392676,Windsor St
43.6445246777868,-79.40126428389934,Waterloo Terrace
43.6453966531494,-79.39439145422214,King St W
43.643786647447556,-79.40188920335068,King St W
43.64497210368007,-79.39423191323628,Spadina Ave
43.64546787245554,-79.38981234570505,Wellington St W
43.64418983141135,-79.39693943960373,Wellington St W
43.64367275819695,-79.38972487213907,Front St W
43.646594548576424,-79.39465639386115,Oxley St
43.644003450954195,-79.39000455134007,Windsor St
43.64395346858954,-79.40056723271476,Stewart St
43.645678781298855,-79.40230718281062,Adelaide St W
43.64475721067028,-79.3998380063762,King St W
43.64409255579074,-79.3922929674599,Blue Jays Way
43.64473235724148,-79.40005862921197,Portland St
43.6441470876086,-79.39651764625769,Wellington St W
43.6460407131352,-79.39848339319512,Adelaide St W
43.64629671217458,-79.39099848262859,King St W
43.64615461647194,-79.39096039447591,King St W
43.6462411722472,-79.39695503559606,Adelaide St W
43.64476803841012,-79.39024177434962,Wellington St W
43.64381107501048,-79.39819024090434,Wellington St W
43.643867207901174,-79.39527736248604,Wellington St W
43.6438083936705,-79.39909250287351,Portland St
43.64404286253121,-79.40243834709773,King St W
43.645752661392635,-79.40081410913399,Adelaide St W
43.644274180050154,-79.39446754812232,Spadina Ave
43.64561190812479,-79.39603333992684,King St W
43.645694620390536,-79.39869668261221,Morrison St
43.64519955979398,-79.39475138440635,Spadina Ave
43.64498634761099,-79.39080816261394,Wellington St W
43.64458259666052,-79.39077336095127,Wellington St W
43.64501417250126,-79.3992818818485,King St W
43.64399885334928,-79.39368016424991,Clarence Square
43.64481429898485,-79.40247909785623,Browns Ln
43.64510295338859,-79.39227297280065,Blue Jays Way
43.645359124913014,-79.39876472772617,Morrison St
43.64640901058188,-79.39063587755838,King St W
43.64550433562045,-79.39091487745043,Mercer St
43.64402170693662,-79.40264551974158,Bathurst St
43.64454962710706,-79.40160701477512,King St W
43.64612136462951,-79.39126514538015,King St W
43.645554290733784,-79.39999230209547,King St W
43.64640083234865,-79.3937806995288,Charlotte St
43.644269017535315,-79.39883822016238,King St W
43.64516316803224,-79.40197998597861,Adelaide Pl
43.64538254143993,-79.39962529902256,King St W
43.64668761051552,-79.39478828567277,Adelaide St W
43.64476264946709,-79.40177262223496,Adelaide Pl
43.645479818139,-79.39042812098744,Mercer St
43.64598837166625,-79.39286490591452,King St W
43.64540345159579,-79.39075390152051,Mercer St
43.64409908691722,-79.39615729272535,Wellington St W
43.64657941754556,-79.39257663813532,Peter St
43.64518810123345,-79.39254205958856,Blue Jays Way
43.6445815045911,-79.39523152983594,Spadina Ave
43.64452289582337,-79.40106331953348,King St W
43.64437562148662,-79.39074008905347,Wellington St W
43.64631495734498,-79.39794295832657,Adelaide St W
43.64434033478696,-79.39702057641314,King St W
43.644185020506264,-79.39477304873999,Spadina Ave
43.64664189574777,-79.3927818747032,Peter St
43.64533367537955,-79.39988077692514,King St W
43.64595169626167,-79.40116786607759,Adelaide St W
43.645696275974935,-79.40182576638445,Adelaide St W
43.644257815187075,-79.38971452844257,Front St W
43.64469990920795,-79.3928345426694,Wellington St W
43.64660701393889,-79.39903603621644,Adelaide St W
43.64597141535708,-79.39827353680937,Brant St
43.64539197830352,-79.3966486944953,King St W
43.644096881143696,-79.39119310044686,Blue Jays Way
43.64626238074332,-79.40096538262029,Portland St
43.646612439978625,-79.39612344802497,Adelaide St W
43.64626518782955,-79.40197983722767,Richmond St W
43.64565390512718,-79.3998908448983,King St W
43.64524009338285,-79.39795258840283,Brant St
43.64392999031592,-79.39788669442518,Wellington St W
43.64632992792697,-79.39255907317931,Peter St
43.646587790516136,-79.39839093843044,Brant St
43.645112328674394,-79.39476786383825,Spadina Ave
43.64573926271759,-79.39242018747764,King St W
43.644669073294864,-79.40219302415674,Bathurst St
43.64433660798053,-79.39838461092016,Brant Pl
43.64412826838048,-79.39252214162173,Clarence Square
43.644073991168966,-79.39366766322378,Clarence Square
43.64489737260123,-79.40252171667022,Browns Ln
43.64657898126588,-79.3988710344204,Adelaide St W
43.645078923852516,-79.40246828713087,Adelaide St W
43.64587099413672,-79.39342453027899,King St W
43.644169708377675,-79.39289160784986,Clarence Square
43.64403522658187,-79.39403224205444,Spadina Ave
43.64659140586362,-79.39575739283995,Spadina Ave
43.645406283914085,-79.39715949709304,King St W
43.64528460695288,-79.39555106450099,King St W
43.64426458560332,-79.40097938709498,King St W
43.646364421869805,-79.40047570693937,Portland St
43.64438131493068,-79.40238423186861,Bathurst St
43.64410133735598,-79.3960592167845,Wellington St W
43.644747565610295,-79.3965236658419,King St W
43.64465886456151,-79.39353249717699,Clarence Square
43.64400232775417,-79.39082743442087,Front St W
43.64524455503108,-79.39751873744841,Brant St
43.64501135328345,-79.4023008528977,Waterloo Terrace
43.646426992391675,-79.39154971581091,King St W
43.64567419858369,-79.3979145120876,Brant St
43.64648510779215,-79.3967138229983,Adelaide St W
43.6457363996869,-79.3995814161927,Adelaide St W
43.64658531085198,-79.38990669171876,King St W
43.64585695046903,-79.38973171190325,Mercer St
43.64482437977478,-79.3989936137309,King St W
43.64664894713847,-79.39781267168941,Camden St
43.6444173973995,-79.39346535539622,Clarence Square
43.646502355624804,-79.40178978534378,Richmond St W
