lat,lng,streetName
43.64461259999999,-79.39272719999997,Wellington St W
43.6462464,-79.3963377,Adelaide St W
43.6441197,-79.39588329999998,Wellington St W
43.6454458,-79.39235880000001,Blue Jays Way
43.6452276,-79.39706910000001,King St W
43.6435311,-79.39242409999997,Front St W
43.6458814,-79.39675979999998,Brant St
43.64643119999999,-79.40174480000002,Richmond St W
43.6446981,-79.3961875,King St W
43.6446859,-79.39824169999997,King St W
43.6437977,-79.39960400000001,Portland St
43.6438394,-79.39135729999998,Blue Jays Way
43.6457568,-79.39549520000003,Spadina Ave
43.6466222,-79.3903325,King St W
43.6460436,-79.3924733,Peter St
43.6448609,-79.39920719999998,King St W
43.6458617,-79.39392699999996,King St W
43.645672,-79.39173299999999,Mercer St
43.6449717,-79.39123789999996,Wellington St W
43.6441327,-79.40039239999999,King St W
43.6436855,-79.39922839999997,Portland St
43.6463395,-79.39654819999998,Adelaide St W
43.6450676,-79.39086370000001,Wellington St W
43.6437977,-79.39960400000001,Portland St
43.64420339999999,-79.3951902,Wellington St W
43.6455072,-79.40076770000002,Adelaide St W
43.6462059,-79.39380740000001,Charlotte St
43.6439965,-79.39884899999998,King St W
43.64643119999999,-79.40174480000002,Richmond St W
43.6464132,-79.39587389999997,Spadina Ave
43.6436729,-79.39734140000002,Wellington St W
43.6459544,-79.3901497,Mercer St
43.6441327,-79.40039239999999,King St W
43.6441487,-79.3953262,Wellington St W
43.643893,-79.3913794,Blue Jays Way
43.6451011,-79.39949690000003,King St W
43.6466591,-79.39215690000003,Peter St
43.6446139,-79.39011729999999,Wellington St W
43.6441922,-79.398551,Brant Pl
43.645436,-79.4020648,Adelaide St W
43.6452478,-79.3969404,King St W
43.6464505,-79.39175940000001,King St W
43.6441487,-79.3953262,Wellington St W
43.6463185,-79.39886380000002,Adelaide St W
43.64420339999999,-79.3951902,Wellington St W
43.6455639,-79.39860829999998,Morrison St
43.6447768,-79.39750779999997,King St W
43.6460718,-79.39335260000001,King St E
43.6464505,-79.39175940000001,King St W
43.6446769,-79.39868810000002,Brant Pl
43.6451109,-79.3953411,King St W
43.6461214,-79.40102139999999,Portland St
43.6461163,-79.39079670000001,King St W
43.6453165,-79.4014866,Adelaide St W
43.64406719999999,-79.40068300000001,King St W
43.6464505,-79.39175940000001,King St W
43.6438016,-79.40048230000002,Stewart St
43.6458814,-79.39675979999998,Brant St
43.6450168,-79.40180129999999,Adelaide Pl
43.64643119999999,-79.40174480000002,Richmond St W
43.64506069999999,-79.39422719999999,Spadina Ave
43.6464505,-79.39175940000001,King St W
43.64643359999999,-79.39780639999998,Brant St
43.644217,-79.3966997,Wellington St W
43.6457644,-79.39110149999999,Mercer St
43.6461425,-79.39982329999998,Maud St
43.6455762,-79.4025024,Adelaide St W
43.6447961,-79.39372650000001,Clarence Square
43.6447372,-79.3939254,Clarence Square
43.6447358,-79.39236140000003,Wellington St W
43.6452514,-79.39222130000002,Blue Jays Way
43.6463133,-79.39269560000002,Peter St
43.6464132,-79.39587389999997,Spadina Ave
43.6463654,-79.40231219999998,Richmond St W
43.6444057,-79.4018964,King St W
43.6449264,-79.40209870000001,Waterloo Terrace
43.6457461,-79.3907901,Mercer St
43.64615610000001,-79.39717840000003,Adelaide St W
43.6442837,-79.3987467,King St W
43.6458922,-79.39878069999997,Adelaide St W
43.64396,-79.39021029999998,Front St W
43.6454059,-79.39141919999997,Mercer St
43.6440534,-79.39953009999999,Portland St
43.6448287,-79.39207110000001,Blue Jays Way
43.6441879,-79.39550789999998,Wellington St W
43.6449607,-79.39001659999997,Wellington St W
43.6459328,-79.39561090000001,Spadina Ave
43.6455735,-79.39899149999997,Morrison St
43.6450312,-79.39510489999998,Spadina Ave
43.6457703,-79.3932087,King St W
43.6448287,-79.39207110000001,Blue Jays Way
43.6437654,-79.40135429999998,Stewart St
43.6458027,-79.39875180000001,Morrison St
43.6437777,-79.39783749999998,Wellington St W
43.6438459,-79.39182399999999,Blue Jays Way
43.6452514,-79.39222130000002,Blue Jays Way
43.6444836,-79.39901220000002,King St W
43.6464505,-79.39175940000001,King St W
43.6447787,-79.39157109999996,Wellington St W
43.6446625,-79.39011310000001,Wellington St W
43.64440159999999,-79.3902789,Windsor St
43.6453623,-79.39511499999998,Spadina Ave
43.6453141,-79.39752140000002,Brant St
43.6456989,-79.39721029999998,Brant St
43.6458367,-79.4011246,Adelaide St W
43.64615610000001,-79.39717840000003,Adelaide St W
43.64498750000001,-79.39600009999998,King St W
43.6438454,-79.4023616,King St W
43.6445209,-79.39857669999998,King St W
43.6436855,-79.39922839999997,Portland St
43.64582,-79.39086700000001,Mercer St
43.6440443,-79.4028793,Bathurst St
43.6459687,-79.39943749999998,Adelaide St W
43.64667499999999,-79.39090099999999,Widmer St
43.64496620000001,-79.39675139999997,King St W
43.6464679,-79.39751910000001,Adelaide St W
43.6462844,-79.3967002,Adelaide St W
43.644829,-79.39677699999999,King St W
43.6456989,-79.39721029999998,Brant St
43.64498409999999,-79.40149489999999,Adelaide Pl
43.6464649,-79.39499089999998,Spadina Ave
43.6444704,-79.40158629999996,King St W
43.6461725,-79.3901232,King St W
43.6450676,-79.39086370000001,Wellington St W
43.6452754,-79.39020289999996,Wellington St W
43.6459354,-79.40046749999999,Adelaide St W
43.64444599999999,-79.39366259999997,Clarence Square
43.6446812,-79.39721179999998,King St W
43.6451109,-79.3953411,King St W
43.6445346,-79.39503819999999,Spadina Ave
43.6445466,-79.40080569999998,King St W
43.6447905,-79.39343509999998,Clarence Square
43.6455955,-79.40238039999997,Adelaide St W
43.6447768,-79.39750779999997,King St W
43.6437691,-79.4021138,King St W
43.6449717,-79.39123789999996,Wellington St W
43.6438713,-79.3968898,Wellington St W
43.64506069999999,-79.39422719999999,Spadina Ave
43.6456989,-79.39721029999998,Brant St
43.6463581,-79.39469839999998,Oxley St
43.6436729,-79.39734140000002,Wellington St W
43.6446755,-79.39842149999998,Brant Pl
43.6462586,-79.40017619999998,Maud St
43.6443521,-79.39620530000002,Wellington St W
43.6468398,-79.39760100000001,Camden St
43.6441327,-79.40039239999999,King St W
43.6441313,-79.39017009999998,Windsor St
43.6438637,-79.39705029999999,Wellington St W
43.6452295,-79.394068,King St W
43.6460984,-79.39774060000002,Adelaide St W
43.6454035,-79.40141369999998,Adelaide St W
43.6447961,-79.39372650000001,Clarence Square
43.6449936,-79.3933917,Clarence Square
43.6447358,-79.39236140000003,Wellington St W
43.6446249,-79.3951973,Spadina Ave
43.6447079,-79.39067039999998,Wellington St W
43.6452005,-79.4006612,Portland St
43.6458835,-79.39578189999997,Spadina Ave
43.6440594,-79.40093539999998,King St W
43.6450676,-79.39086370000001,Wellington St W
43.6434672,-79.3948775,Wellington St W
43.6457331,-79.39323609999997,King St W
43.6464348,-79.3943385,Oxley St
43.6462243,-79.40265110000001,Richmond St W
43.6450547,-79.39209040000003,Blue Jays Way
43.6438713,-79.3968898,Wellington St W
43.644786,-79.40129569999999,Waterloo Terrace
43.6464132,-79.39587389999997,Spadina Ave
43.6440793,-79.39153299999998,Blue Jays Way
43.6474576,-79.39186940000002,E Peter S Adelaide
43.6443117,-79.40137949999996,King St W
43.64446419999999,-79.390265,Windsor St
43.64398389999999,-79.3995114,Portland St
43.64461259999999,-79.39272719999997,Wellington St W
43.6457649,-79.40106980000002,Adelaide St W
43.646004,-79.39926530000002,Adelaide St W
43.6454759,-79.39446069999997,Spadina Ave
43.6459283,-79.39337039999998,King St W
43.6453363,-79.4017101,Adelaide St W
